0,0.063607,0.1281,0.1741,0.20995,0.2394,0.26443,0.28623,0.30555,0.32293,0.33873,0.35323,0.36665,0.37913,0.39082,0.40181,0.41219,0.42203,0.43139,0.44032,0.44886,0.45704,0.46491,0.47249,0.4798,0.48686,0.49369,0.50032,0.50675,0.51299,0.51907,0.52499,0.53076,0.5364,0.5419,0.54728,0.55255,0.5577,0.56276,0.56771,0.57258,0.57735,0.58205,0.58666,0.5912,0.59567,0.60008,0.60441,0.60869,0.61291,0.61707,0.62118,0.62524,0.62924,0.63321,0.63713,0.641,0.64484,0.64863,0.65239,0.65611,0.6598,0.66346,0.66708,0.67068,0.67424,0.67778,0.6813,0.68478,0.68825,0.69169,0.69511,0.69851,0.70189,0.70525,0.70859,0.71192,0.71523,0.71852,0.7218,0.72507,0.72832,0.73156,0.73479,0.73801,0.74122,0.74442,0.74761,0.7508,0.75397,0.75715,0.76031,0.76347,0.76663,0.76978,0.77293,0.77607,0.77922,0.78236,0.7855,0.78864,0.79178,0.79493,0.79807,0.80122,0.80437,0.80753,0.81069,0.81385,0.81703,0.8202,0.82339,0.82658,0.82978,0.83299,0.83621,0.83944,0.84268,0.84593,0.8492,0.85248,0.85577,0.85908,0.86241,0.86575,0.86911,0.87249,0.87589,0.87931,0.88275,0.88622,0.8897,0.89322,0.89676,0.90032,0.90392,0.90754,0.9112,0.91489,0.91861,0.92237,0.92616,0.93,0.93387,0.93779,0.94176,0.94576,0.94982,0.95393,0.95809,0.96231,0.96659,0.97092,0.97533,0.9798,0.98434,0.98895,0.99365,0.99842,1.0033,1.0082,1.0133,1.0185,1.0237,1.0291,1.0346,1.0402,1.046,1.0519,1.058,1.0643,1.0707,1.0773,1.0841,1.0912,1.0985,1.1061,1.114,1.1221,1.1307,1.1396,1.149,1.1588,1.1692,1.1802,1.1919,1.2044,1.2178,1.2323,1.2481,1.2654,1.2848,1.3066,1.3316,1.361,1.3969,1.4429,1.5074,1.5553,1.571
0,0.063607,0.1281,0.1741,0.20995,0.2394,0.26443,0.28623,0.30555,0.32293,0.33873,0.35323,0.36665,0.37913,0.39082,0.40181,0.41219,0.42203,0.43139,0.44032,0.44886,0.45704,0.46491,0.47249,0.4798,0.48686,0.49369,0.50032,0.50675,0.51299,0.51907,0.52499,0.53076,0.5364,0.5419,0.54728,0.55255,0.5577,0.56276,0.56771,0.57258,0.57735,0.58205,0.58666,0.5912,0.59567,0.60008,0.60441,0.60869,0.61291,0.61707,0.62118,0.62524,0.62924,0.63321,0.63713,0.641,0.64484,0.64863,0.65239,0.65611,0.6598,0.66346,0.66708,0.67068,0.67424,0.67778,0.6813,0.68478,0.68825,0.69169,0.69511,0.69851,0.70189,0.70525,0.70859,0.71192,0.71523,0.71852,0.7218,0.72507,0.72832,0.73156,0.73479,0.73801,0.74122,0.74442,0.74761,0.7508,0.75397,0.75715,0.76031,0.76347,0.76663,0.76978,0.77293,0.77607,0.77922,0.78236,0.7855,0.78864,0.79178,0.79493,0.79807,0.80122,0.80437,0.80753,0.81069,0.81385,0.81703,0.8202,0.82339,0.82658,0.82978,0.83299,0.83621,0.83944,0.84268,0.84593,0.8492,0.85248,0.85577,0.85908,0.86241,0.86575,0.86911,0.87249,0.87589,0.87931,0.88275,0.88622,0.8897,0.89322,0.89676,0.90032,0.90392,0.90754,0.9112,0.91489,0.91861,0.92237,0.92616,0.93,0.93387,0.93779,0.94176,0.94576,0.94982,0.95393,0.95809,0.96231,0.96659,0.97092,0.97533,0.9798,0.98434,0.98895,0.99365,0.99842,1.0033,1.0082,1.0133,1.0185,1.0237,1.0291,1.0346,1.0402,1.046,1.0519,1.058,1.0643,1.0707,1.0773,1.0841,1.0912,1.0985,1.1061,1.114,1.1221,1.1307,1.1396,1.149,1.1588,1.1692,1.1802,1.1919,1.2044,1.2178,1.2323,1.2481,1.2654,1.2848,1.3066,1.3316,1.361,1.3969,1.4429,1.5074,1.5553,1.571
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.063607,0.1281,0.1741,0.20995,0.2394,0.26443,0.28623,0.30555,0.32293,0.33873,0.35323,0.36665,0.37913,0.39082,0.40181,0.41219,0.42203,0.43139,0.44032,0.44886,0.45704,0.46491,0.47249,0.4798,0.48686,0.49369,0.50032,0.50675,0.51299,0.51907,0.52499,0.53076,0.5364,0.5419,0.54728,0.55255,0.5577,0.56276,0.56771,0.57258,0.57735,0.58205,0.58666,0.5912,0.59567,0.60008,0.60441,0.60869,0.61291,0.61707,0.62118,0.62524,0.62924,0.63321,0.63713,0.641,0.64484,0.64863,0.65239,0.65611,0.6598,0.66346,0.66708,0.67068,0.67424,0.67778,0.6813,0.68478,0.68825,0.69169,0.69511,0.69851,0.70189,0.70525,0.70859,0.71192,0.71523,0.71852,0.7218,0.72507,0.72832,0.73156,0.73479,0.73801,0.74122,0.74442,0.74761,0.7508,0.75397,0.75715,0.76031,0.76347,0.76663,0.76978,0.77293,0.77607,0.77922,0.78236,0.7855,0.78864,0.79178,0.79493,0.79807,0.80122,0.80437,0.80753,0.81069,0.81385,0.81703,0.8202,0.82339,0.82658,0.82978,0.83299,0.83621,0.83944,0.84268,0.84593,0.8492,0.85248,0.85577,0.85908,0.86241,0.86575,0.86911,0.87249,0.87589,0.87931,0.88275,0.88622,0.8897,0.89322,0.89676,0.90032,0.90392,0.90754,0.9112,0.91489,0.91861,0.92237,0.92616,0.93,0.93387,0.93779,0.94176,0.94576,0.94982,0.95393,0.95809,0.96231,0.96659,0.97092,0.97533,0.9798,0.98434,0.98895,0.99365,0.99842,1.0033,1.0082,1.0133,1.0185,1.0237,1.0291,1.0346,1.0402,1.046,1.0519,1.058,1.0643,1.0707,1.0773,1.0841,1.0912,1.0985,1.1061,1.114,1.1221,1.1307,1.1396,1.149,1.1588,1.1692,1.1802,1.1919,1.2044,1.2178,1.2323,1.2481,1.2654,1.2848,1.3066,1.3316,1.361,1.3969,1.4429,1.5074,1.5553,1.571
0,0.063607,0.1281,0.1741,0.20995,0.2394,0.26443,0.28623,0.30555,0.32293,0.33873,0.35323,0.36665,0.37913,0.39082,0.40181,0.41219,0.42203,0.43139,0.44032,0.44886,0.45704,0.46491,0.47249,0.4798,0.48686,0.49369,0.50032,0.50675,0.51299,0.51907,0.52499,0.53076,0.5364,0.5419,0.54728,0.55255,0.5577,0.56276,0.56771,0.57258,0.57735,0.58205,0.58666,0.5912,0.59567,0.60008,0.60441,0.60869,0.61291,0.61707,0.62118,0.62524,0.62924,0.63321,0.63713,0.641,0.64484,0.64863,0.65239,0.65611,0.6598,0.66346,0.66708,0.67068,0.67424,0.67778,0.6813,0.68478,0.68825,0.69169,0.69511,0.69851,0.70189,0.70525,0.70859,0.71192,0.71523,0.71852,0.7218,0.72507,0.72832,0.73156,0.73479,0.73801,0.74122,0.74442,0.74761,0.7508,0.75397,0.75715,0.76031,0.76347,0.76663,0.76978,0.77293,0.77607,0.77922,0.78236,0.7855,0.78864,0.79178,0.79493,0.79807,0.80122,0.80437,0.80753,0.81069,0.81385,0.81703,0.8202,0.82339,0.82658,0.82978,0.83299,0.83621,0.83944,0.84268,0.84593,0.8492,0.85248,0.85577,0.85908,0.86241,0.86575,0.86911,0.87249,0.87589,0.87931,0.88275,0.88622,0.8897,0.89322,0.89676,0.90032,0.90392,0.90754,0.9112,0.91489,0.91861,0.92237,0.92616,0.93,0.93387,0.93779,0.94176,0.94576,0.94982,0.95393,0.95809,0.96231,0.96659,0.97092,0.97533,0.9798,0.98434,0.98895,0.99365,0.99842,1.0033,1.0082,1.0133,1.0185,1.0237,1.0291,1.0346,1.0402,1.046,1.0519,1.058,1.0643,1.0707,1.0773,1.0841,1.0912,1.0985,1.1061,1.114,1.1221,1.1307,1.1396,1.149,1.1588,1.1692,1.1802,1.1919,1.2044,1.2178,1.2323,1.2481,1.2654,1.2848,1.3066,1.3316,1.361,1.3969,1.4429,1.5074,1.5553,1.571
0,0.063607,0.1281,0.1741,0.20995,0.2394,0.26443,0.28623,0.30555,0.32293,0.33873,0.35323,0.36665,0.37913,0.39082,0.40181,0.41219,0.42203,0.43139,0.44032,0.44886,0.45704,0.46491,0.47249,0.4798,0.48686,0.49369,0.50032,0.50675,0.51299,0.51907,0.52499,0.53076,0.5364,0.5419,0.54728,0.55255,0.5577,0.56276,0.56771,0.57258,0.57735,0.58205,0.58666,0.5912,0.59567,0.60008,0.60441,0.60869,0.61291,0.61707,0.62118,0.62524,0.62924,0.63321,0.63713,0.641,0.64484,0.64863,0.65239,0.65611,0.6598,0.66346,0.66708,0.67068,0.67424,0.67778,0.6813,0.68478,0.68825,0.69169,0.69511,0.69851,0.70189,0.70525,0.70859,0.71192,0.71523,0.71852,0.7218,0.72507,0.72832,0.73156,0.73479,0.73801,0.74122,0.74442,0.74761,0.7508,0.75397,0.75715,0.76031,0.76347,0.76663,0.76978,0.77293,0.77607,0.77922,0.78236,0.7855,0.78864,0.79178,0.79493,0.79807,0.80122,0.80437,0.80753,0.81069,0.81385,0.81703,0.8202,0.82339,0.82658,0.82978,0.83299,0.83621,0.83944,0.84268,0.84593,0.8492,0.85248,0.85577,0.85908,0.86241,0.86575,0.86911,0.87249,0.87589,0.87931,0.88275,0.88622,0.8897,0.89322,0.89676,0.90032,0.90392,0.90754,0.9112,0.91489,0.91861,0.92237,0.92616,0.93,0.93387,0.93779,0.94176,0.94576,0.94982,0.95393,0.95809,0.96231,0.96659,0.97092,0.97533,0.9798,0.98434,0.98895,0.99365,0.99842,1.0033,1.0082,1.0133,1.0185,1.0237,1.0291,1.0346,1.0402,1.046,1.0519,1.058,1.0643,1.0707,1.0773,1.0841,1.0912,1.0985,1.1061,1.114,1.1221,1.1307,1.1396,1.149,1.1588,1.1692,1.1802,1.1919,1.2044,1.2178,1.2323,1.2481,1.2654,1.2848,1.3066,1.3316,1.361,1.3969,1.4429,1.5074,1.5553,1.571
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.063607,0.1281,0.1741,0.20995,0.2394,0.26443,0.28623,0.30555,0.32293,0.33873,0.35323,0.36665,0.37913,0.39082,0.40181,0.41219,0.42203,0.43139,0.44032,0.44886,0.45704,0.46491,0.47249,0.4798,0.48686,0.49369,0.50032,0.50675,0.51299,0.51907,0.52499,0.53076,0.5364,0.5419,0.54728,0.55255,0.5577,0.56276,0.56771,0.57258,0.57735,0.58205,0.58666,0.5912,0.59567,0.60008,0.60441,0.60869,0.61291,0.61707,0.62118,0.62524,0.62924,0.63321,0.63713,0.641,0.64484,0.64863,0.65239,0.65611,0.6598,0.66346,0.66708,0.67068,0.67424,0.67778,0.6813,0.68478,0.68825,0.69169,0.69511,0.69851,0.70189,0.70525,0.70859,0.71192,0.71523,0.71852,0.7218,0.72507,0.72832,0.73156,0.73479,0.73801,0.74122,0.74442,0.74761,0.7508,0.75397,0.75715,0.76031,0.76347,0.76663,0.76978,0.77293,0.77607,0.77922,0.78236,0.7855,0.78864,0.79178,0.79493,0.79807,0.80122,0.80437,0.80753,0.81069,0.81385,0.81703,0.8202,0.82339,0.82658,0.82978,0.83299,0.83621,0.83944,0.84268,0.84593,0.8492,0.85248,0.85577,0.85908,0.86241,0.86575,0.86911,0.87249,0.87589,0.87931,0.88275,0.88622,0.8897,0.89322,0.89676,0.90032,0.90392,0.90754,0.9112,0.91489,0.91861,0.92237,0.92616,0.93,0.93387,0.93779,0.94176,0.94576,0.94982,0.95393,0.95809,0.96231,0.96659,0.97092,0.97533,0.9798,0.98434,0.98895,0.99365,0.99842,1.0033,1.0082,1.0133,1.0185,1.0237,1.0291,1.0346,1.0402,1.046,1.0519,1.058,1.0643,1.0707,1.0773,1.0841,1.0912,1.0985,1.1061,1.114,1.1221,1.1307,1.1396,1.149,1.1588,1.1692,1.1802,1.1919,1.2044,1.2178,1.2323,1.2481,1.2654,1.2848,1.3066,1.3316,1.361,1.3969,1.4429,1.5074,1.5553,1.571
0,0.063607,0.1281,0.1741,0.20995,0.2394,0.26443,0.28623,0.30555,0.32293,0.33873,0.35323,0.36665,0.37913,0.39082,0.40181,0.41219,0.42203,0.43139,0.44032,0.44886,0.45704,0.46491,0.47249,0.4798,0.48686,0.49369,0.50032,0.50675,0.51299,0.51907,0.52499,0.53076,0.5364,0.5419,0.54728,0.55255,0.5577,0.56276,0.56771,0.57258,0.57735,0.58205,0.58666,0.5912,0.59567,0.60008,0.60441,0.60869,0.61291,0.61707,0.62118,0.62524,0.62924,0.63321,0.63713,0.641,0.64484,0.64863,0.65239,0.65611,0.6598,0.66346,0.66708,0.67068,0.67424,0.67778,0.6813,0.68478,0.68825,0.69169,0.69511,0.69851,0.70189,0.70525,0.70859,0.71192,0.71523,0.71852,0.7218,0.72507,0.72832,0.73156,0.73479,0.73801,0.74122,0.74442,0.74761,0.7508,0.75397,0.75715,0.76031,0.76347,0.76663,0.76978,0.77293,0.77607,0.77922,0.78236,0.7855,0.78864,0.79178,0.79493,0.79807,0.80122,0.80437,0.80753,0.81069,0.81385,0.81703,0.8202,0.82339,0.82658,0.82978,0.83299,0.83621,0.83944,0.84268,0.84593,0.8492,0.85248,0.85577,0.85908,0.86241,0.86575,0.86911,0.87249,0.87589,0.87931,0.88275,0.88622,0.8897,0.89322,0.89676,0.90032,0.90392,0.90754,0.9112,0.91489,0.91861,0.92237,0.92616,0.93,0.93387,0.93779,0.94176,0.94576,0.94982,0.95393,0.95809,0.96231,0.96659,0.97092,0.97533,0.9798,0.98434,0.98895,0.99365,0.99842,1.0033,1.0082,1.0133,1.0185,1.0237,1.0291,1.0346,1.0402,1.046,1.0519,1.058,1.0643,1.0707,1.0773,1.0841,1.0912,1.0985,1.1061,1.114,1.1221,1.1307,1.1396,1.149,1.1588,1.1692,1.1802,1.1919,1.2044,1.2178,1.2323,1.2481,1.2654,1.2848,1.3066,1.3316,1.361,1.3969,1.4429,1.5074,1.5553,1.571
0,0.063607,0.1281,0.1741,0.20995,0.2394,0.26443,0.28623,0.30555,0.32293,0.33873,0.35323,0.36665,0.37913,0.39082,0.40181,0.41219,0.42203,0.43139,0.44032,0.44886,0.45704,0.46491,0.47249,0.4798,0.48686,0.49369,0.50032,0.50675,0.51299,0.51907,0.52499,0.53076,0.5364,0.5419,0.54728,0.55255,0.5577,0.56276,0.56771,0.57258,0.57735,0.58205,0.58666,0.5912,0.59567,0.60008,0.60441,0.60869,0.61291,0.61707,0.62118,0.62524,0.62924,0.63321,0.63713,0.641,0.64484,0.64863,0.65239,0.65611,0.6598,0.66346,0.66708,0.67068,0.67424,0.67778,0.6813,0.68478,0.68825,0.69169,0.69511,0.69851,0.70189,0.70525,0.70859,0.71192,0.71523,0.71852,0.7218,0.72507,0.72832,0.73156,0.73479,0.73801,0.74122,0.74442,0.74761,0.7508,0.75397,0.75715,0.76031,0.76347,0.76663,0.76978,0.77293,0.77607,0.77922,0.78236,0.7855,0.78864,0.79178,0.79493,0.79807,0.80122,0.80437,0.80753,0.81069,0.81385,0.81703,0.8202,0.82339,0.82658,0.82978,0.83299,0.83621,0.83944,0.84268,0.84593,0.8492,0.85248,0.85577,0.85908,0.86241,0.86575,0.86911,0.87249,0.87589,0.87931,0.88275,0.88622,0.8897,0.89322,0.89676,0.90032,0.90392,0.90754,0.9112,0.91489,0.91861,0.92237,0.92616,0.93,0.93387,0.93779,0.94176,0.94576,0.94982,0.95393,0.95809,0.96231,0.96659,0.97092,0.97533,0.9798,0.98434,0.98895,0.99365,0.99842,1.0033,1.0082,1.0133,1.0185,1.0237,1.0291,1.0346,1.0402,1.046,1.0519,1.058,1.0643,1.0707,1.0773,1.0841,1.0912,1.0985,1.1061,1.114,1.1221,1.1307,1.1396,1.149,1.1588,1.1692,1.1802,1.1919,1.2044,1.2178,1.2323,1.2481,1.2654,1.2848,1.3066,1.3316,1.361,1.3969,1.4429,1.5074,1.5553,1.571
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.063607,0.1281,0.1741,0.20995,0.2394,0.26443,0.28623,0.30555,0.32293,0.33873,0.35323,0.36665,0.37913,0.39082,0.40181,0.41219,0.42203,0.43139,0.44032,0.44886,0.45704,0.46491,0.47249,0.4798,0.48686,0.49369,0.50032,0.50675,0.51299,0.51907,0.52499,0.53076,0.5364,0.5419,0.54728,0.55255,0.5577,0.56276,0.56771,0.57258,0.57735,0.58205,0.58666,0.5912,0.59567,0.60008,0.60441,0.60869,0.61291,0.61707,0.62118,0.62524,0.62924,0.63321,0.63713,0.641,0.64484,0.64863,0.65239,0.65611,0.6598,0.66346,0.66708,0.67068,0.67424,0.67778,0.6813,0.68478,0.68825,0.69169,0.69511,0.69851,0.70189,0.70525,0.70859,0.71192,0.71523,0.71852,0.7218,0.72507,0.72832,0.73156,0.73479,0.73801,0.74122,0.74442,0.74761,0.7508,0.75397,0.75715,0.76031,0.76347,0.76663,0.76978,0.77293,0.77607,0.77922,0.78236,0.7855,0.78864,0.79178,0.79493,0.79807,0.80122,0.80437,0.80753,0.81069,0.81385,0.81703,0.8202,0.82339,0.82658,0.82978,0.83299,0.83621,0.83944,0.84268,0.84593,0.8492,0.85248,0.85577,0.85908,0.86241,0.86575,0.86911,0.87249,0.87589,0.87931,0.88275,0.88622,0.8897,0.89322,0.89676,0.90032,0.90392,0.90754,0.9112,0.91489,0.91861,0.92237,0.92616,0.93,0.93387,0.93779,0.94176,0.94576,0.94982,0.95393,0.95809,0.96231,0.96659,0.97092,0.97533,0.9798,0.98434,0.98895,0.99365,0.99842,1.0033,1.0082,1.0133,1.0185,1.0237,1.0291,1.0346,1.0402,1.046,1.0519,1.058,1.0643,1.0707,1.0773,1.0841,1.0912,1.0985,1.1061,1.114,1.1221,1.1307,1.1396,1.149,1.1588,1.1692,1.1802,1.1919,1.2044,1.2178,1.2323,1.2481,1.2654,1.2848,1.3066,1.3316,1.361,1.3969,1.4429,1.5074,1.5553,1.571
0,0.063607,0.1281,0.1741,0.20995,0.2394,0.26443,0.28623,0.30555,0.32293,0.33873,0.35323,0.36665,0.37913,0.39082,0.40181,0.41219,0.42203,0.43139,0.44032,0.44886,0.45704,0.46491,0.47249,0.4798,0.48686,0.49369,0.50032,0.50675,0.51299,0.51907,0.52499,0.53076,0.5364,0.5419,0.54728,0.55255,0.5577,0.56276,0.56771,0.57258,0.57735,0.58205,0.58666,0.5912,0.59567,0.60008,0.60441,0.60869,0.61291,0.61707,0.62118,0.62524,0.62924,0.63321,0.63713,0.641,0.64484,0.64863,0.65239,0.65611,0.6598,0.66346,0.66708,0.67068,0.67424,0.67778,0.6813,0.68478,0.68825,0.69169,0.69511,0.69851,0.70189,0.70525,0.70859,0.71192,0.71523,0.71852,0.7218,0.72507,0.72832,0.73156,0.73479,0.73801,0.74122,0.74442,0.74761,0.7508,0.75397,0.75715,0.76031,0.76347,0.76663,0.76978,0.77293,0.77607,0.77922,0.78236,0.7855,0.78864,0.79178,0.79493,0.79807,0.80122,0.80437,0.80753,0.81069,0.81385,0.81703,0.8202,0.82339,0.82658,0.82978,0.83299,0.83621,0.83944,0.84268,0.84593,0.8492,0.85248,0.85577,0.85908,0.86241,0.86575,0.86911,0.87249,0.87589,0.87931,0.88275,0.88622,0.8897,0.89322,0.89676,0.90032,0.90392,0.90754,0.9112,0.91489,0.91861,0.92237,0.92616,0.93,0.93387,0.93779,0.94176,0.94576,0.94982,0.95393,0.95809,0.96231,0.96659,0.97092,0.97533,0.9798,0.98434,0.98895,0.99365,0.99842,1.0033,1.0082,1.0133,1.0185,1.0237,1.0291,1.0346,1.0402,1.046,1.0519,1.058,1.0643,1.0707,1.0773,1.0841,1.0912,1.0985,1.1061,1.114,1.1221,1.1307,1.1396,1.149,1.1588,1.1692,1.1802,1.1919,1.2044,1.2178,1.2323,1.2481,1.2654,1.2848,1.3066,1.3316,1.361,1.3969,1.4429,1.5074,1.5553,1.571
0,0.063607,0.1281,0.1741,0.20995,0.2394,0.26443,0.28623,0.30555,0.32293,0.33873,0.35323,0.36665,0.37913,0.39082,0.40181,0.41219,0.42203,0.43139,0.44032,0.44886,0.45704,0.46491,0.47249,0.4798,0.48686,0.49369,0.50032,0.50675,0.51299,0.51907,0.52499,0.53076,0.5364,0.5419,0.54728,0.55255,0.5577,0.56276,0.56771,0.57258,0.57735,0.58205,0.58666,0.5912,0.59567,0.60008,0.60441,0.60869,0.61291,0.61707,0.62118,0.62524,0.62924,0.63321,0.63713,0.641,0.64484,0.64863,0.65239,0.65611,0.6598,0.66346,0.66708,0.67068,0.67424,0.67778,0.6813,0.68478,0.68825,0.69169,0.69511,0.69851,0.70189,0.70525,0.70859,0.71192,0.71523,0.71852,0.7218,0.72507,0.72832,0.73156,0.73479,0.73801,0.74122,0.74442,0.74761,0.7508,0.75397,0.75715,0.76031,0.76347,0.76663,0.76978,0.77293,0.77607,0.77922,0.78236,0.7855,0.78864,0.79178,0.79493,0.79807,0.80122,0.80437,0.80753,0.81069,0.81385,0.81703,0.8202,0.82339,0.82658,0.82978,0.83299,0.83621,0.83944,0.84268,0.84593,0.8492,0.85248,0.85577,0.85908,0.86241,0.86575,0.86911,0.87249,0.87589,0.87931,0.88275,0.88622,0.8897,0.89322,0.89676,0.90032,0.90392,0.90754,0.9112,0.91489,0.91861,0.92237,0.92616,0.93,0.93387,0.93779,0.94176,0.94576,0.94982,0.95393,0.95809,0.96231,0.96659,0.97092,0.97533,0.9798,0.98434,0.98895,0.99365,0.99842,1.0033,1.0082,1.0133,1.0185,1.0237,1.0291,1.0346,1.0402,1.046,1.0519,1.058,1.0643,1.0707,1.0773,1.0841,1.0912,1.0985,1.1061,1.114,1.1221,1.1307,1.1396,1.149,1.1588,1.1692,1.1802,1.1919,1.2044,1.2178,1.2323,1.2481,1.2654,1.2848,1.3066,1.3316,1.361,1.3969,1.4429,1.5074,1.5553,1.571
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727,0.8727
